ProductID,Type,SKU,Name,Description,Industry,Category,Brand,Image,Wholesale Price,MAP Price,Price,Sale Price,MSRP,Weight,Height,Width,Length
,product,1907-1,Terrace Collection,"The traditional shape and accenting of Craftsman style is perfectly achieved in the design of the Terrace Collection. A rustic burnished oak finish that accentuates the natural characteristics of the solid poplar wood lends to the design, while antiqued bronze finished hardware adorns each case piece. Drawers and door storage provide ample storage space for your personal items.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1907-1.jpg,0,0,1659,0,0,,,,
,product,1928-1,Celandine Collection,"The look of traditional design is updated for the modern traditional home in the Celandine Collection. Crystal tufting immediately draws the eyes to the pearlized finish of the bi-cast vinyl headboard insert, while high polished knob hardware stands out from the silver finish of the collection. With each of the aforementioned elements, subtle glamour will be achieved in the design of your elegant bedroom.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1928.jpg,0,0,1319,0,0,,,,
,product,1730-1,Cotterill Collection,"With transitional styling that is at home in a number of decorative environments, the Cotterill Collection will be a versatile addition to your bedroom. The two available finishes –gray or cherry- over birch veneer, dramatically enhance the wood grain and is perfectly accented by the nickel hardware that punctuates each drawer front. Depending on your finish choice the headboard will feature either a black or gray bi-cast vinyl insert with x-stitching and button-tufting.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1730-1.jpg,0,0,1059,0,0,,,,
,product,1904,Beechnut Collection,"Blending the elements of contemporary design and rustic aesthetic, the Beechnut Collection is a unique addition to your master, youth or guest bedroom. Dark under-paneling serves to highlight the light finish of the embossed faux-wood veneer of the raised panels on the bed and case goods. Contrasting cup hardware punctuates each drawer front.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1904.jpg,0,0,569,0,0,,,,
,product,1714W-1,Laurelin Collection,"Casual transitional styling lends versatility to the placement of the Laurelin Collection in a number of bedroom settings. Black and White sand-through finishes are available creating distinctly different looks from traditional to country casual, with antiqued bronze knob hardware punctuating the look of each framed drawer front. Hidden drawers in the nightstand and dresser provide discrete storage for your valuables, while the storage drawers of the footboard provide a more visible means of additional storage capability. Bun feet support the case goods and a sleigh headboard finish off the transitional design of the collection.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1714W-1.jpg,0,0,1539,0,0,,,,
,product,2147W-1,Mayville Collection,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained grey – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2147W.jpg,0,0,799,0,0,,,,
,product,1718GY-1,Begonia Collection,"Casual transitional styling lends versatility to the placement of the Begonia Collection in a number of bedroom settings. The gray finish lends distinctly to the execution of different looks from traditional to country casual, with knob hardware punctuating the look of each framed drawer front. Hidden drawers in the nightstand and dresser provide discrete storage for your valuables, while the storage drawers of the footboard provide a more visible means of additional storage capability. Bun feet support the case goods and a sleigh headboard finish off the transitional design of the collection.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1718GY-1.jpg,0,0,1539,0,0,,,,
,product,2220-1,Lorenzi Collection,"The contemporary design of the Lorenzi Collection is enhanced by the addition of the durable black vinyl covering that encases each piece in the collection. Painted grey hardware provides a distinct contrast to the fabric-s finish. Scaled for urban living, this collection will prove to be a unique and stylish addition to your master, youth, and guest bedrooms.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2220.jpg,0,0,549,0,0,,,,
,product,1958-1,Bevelle Collection,"Modern glamour is exemplified in the design of the Bevelle Collection. Acrylic crystals frame each piece in the collection, reflecting the light to create eye-catching drama. The silver finish serves as the perfect complement to the high-polish decorative knob hardware and medallion accents. A stylish mirrored vanity, with coordinating stool, provides additional function to the collection. Providing contrast to finish is the dark gray bi-cast vinyl, button-tufted headboard panel. A coordinating dining room is also available.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1958-1.jpg,0,0,1739,0,0,,,,
,product,1824-1,Catalonia Collection,"Old-World European styling is captured in the dramatically elegant Catalonia Collection. Traditional design elements reign at every turn – egg and dart molding, acanthus leaf carving, bead molding, gold tipping and extravagant carvings – creating a sophisticated look for your bedroom. Each drawer front features antiqued brass fixed-drop hardware with decorative flourish that furthers the elegant appointments that embellish this collection. A traditional cherry finish is utilized to highlight the cherry veneer of the set and decorative inlay patterns found on the case good tops. Metal scrollwork provides additional visual interest to the headboard, footboard and mirror framing.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1824-1.jpg,0,0,2639,0,0,,,,
,product,1722-1,Langsat Collection,"Book-match mindy veneer immediately draws your eye to the transitionally styled Langsat Collection. The versatile brown finish combined knob hardware, bun feet and classic framing make this bedroom group a welcome addition in a number of home styles. Functional hidden drawers are featured in the nightstand and dresser, providing discrete storage space.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1722-1.jpg,0,0,1539,0,0,,,,
,product,1957-1,Jerrick Collection,Classic transitional design serves as a base for the natural qualities of the solid wood utilized to create the rustic look of the Jerrick Collection. Metal hardware furthers the authentic rustic look while a burnished finish serves to highlight the wood grain while allowing each plank to serve as a unique accent to the overall design.,furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1957-1.jpg,0,0,1499,0,0,,,,
,product,1349-1,Glamour Collection,The beauty of the Glamour Collection lies in the simple lines and style. The panel headboard and footboard feature a metal grid pattern to give your bedroom suite an added touch of characteristic. Cherry veneers and select hardwoods in espresso finish with bold hardware accent give the Glamour Collection a desired look to your home decor.,furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1349-1.jpg,0,0,1299,0,0,,,,
,product,2147SG-1,Mayville Collection,"Traditional in design and modest in scale, the elegant Mayville Collection takes its design inspiration from the classic Louis Philippe styling. Featuring four distinct finishes – burnished brown cherry, white, black, and the newly offered stained grey – with all of the traditional flare unique to the style – antiqued metal bale hardware and distinct framing – this collection is a perfect addition to your traditional adult or youth bedroom.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2147SG.jpg,0,0,799,0,0,,,,
,product,1916BK-1,Allura Collection,"Glamour reigns in the design of the Allura Collection. Framing each piece is a decorative beveled mirror accent that enhances the illumination from the touch-engaged LED back-light of the headboard and mirror, as well as the under-light of the night stand. Alligator embossing and high polished crystal-enhanced hardware boldly accent the available silver or black finish of the collection.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1916BK-1.jpg,0,0,1879,0,0,,,,
,product,1728-1,Hill Creek Collection,The rusticated ambiance of your home calls for the addition of the Hill Creek Collection. The X-framing combined with rough-hewn pine veneers over pine solids and rustic brown finish immediately draw the eye to this unique bedroom group. Functional barn door glides on the dresser front allow for ease of access to behind door storage. Antiqued metal hardware provides additional authenticity to the rustic look of the Hill Creek Collection.,furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1728-1.jpg,0,0,1649,0,0,,,,
,product,1907W-1,Terrace Collection, ,furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1907W-1.jpg,0,0,1659,0,0,,,,
,product,2243-1,Deryn Park Collection,"Walking into the bedroom that is occupied by the Deryn Park Collection immediately displays your love of the traditional aesthetic. Stately from every angle, sophisticated design elements blend to create this beautiful collection. With two bed options – A graceful sleigh bed or stately poster bed– the collection allows you the flexibility to fit the scale of your bedroom and the design to accommodate your personal style. Design elements include burl inlay, traditional bale and knob hardware, claw feet and shell motifs. The cherry finish is highlighted by gold tipping that accentuates the traditional feel of elegant Deryn Park Collection.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2243-1.jpg,0,0,2579,0,0,,,,
,product,5438-1,Toulon Collection,"Classic framing provides elegant contrast to the unique rustic look of the Toulon Collection. Wire-brushed distressing provides texture to the acacia veneer of this lovely bedroom suite. The functional drawers of the footboard allow for additional storage. The French provincial inspired routing lends decorative touch to each piece, while dual drawer and door storage are accented with wide set horizontal metal and wood hardware providing ample space to store your personal possessions.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5438.jpg,0,0,1539,0,0,,,,
,product,5400-1,Schleiger Collection,"Transitionally styled with a burnished brown finish, the Schleiger Collection features bold accenting that lends to a rustic industrial interpretation. Substantial framing provides a masculine profile while decorative metal and rivet banding on each piece of the group furthers the look. Each case piece features metal horizontal hardware.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5400-1.jpg,0,0,1539,0,0,,,,
,product,1845-1,Alonza Collection,"Adding a bold touch of glamour to your boudoir is the Alonza Collection. Finished in a brilliant white, the embossed alligator board is reflected in the inlay mirrors of the bed and case pieces. The newly available back-lit LED headboard and mirror illuminate with a delicate touch, creating a dazzling glow. Turned feet provide a distinct departure from the linear design of the collection, adding a distinctly feminine flair. Drawer pulls add to the allure of the collection with an inlay crystal and chrome look.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1845.jpg,0,0,1879,0,0,,,,
,product,1733-1,Verano Collection,"Appropriate for a number of bedroom designs, the Verano Collection is the perfect permanent canvas for your ever-evolving personal style. The rich espresso finish is delicately accented with discrete brushed nickel knob hardware and stylish framing that carries from the bed to the mirror in this modern transitional set. The pull-out tray on the nightstand provides additional space for your bedside needs.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1733-1.jpg,0,0,1229,0,0,,,,
,product,1737NC-1,Lyric Collection,"Taking the expected design elements of hard contemporary and putting a decidedly feminine curve into the mix makes the Lyric Collection a unique addition to your new bedroom design. With each curve comes a new twist - satin nickel hardware accents the glossy white or dark espresso finish, bow-front case pieces feature ball bearing drawer glides and compliment the padded sleigh headboard & footboard, while a round, contemporary mirror reflects the modern designs that you have selected. A final unique addition to the collection is the glass-topped night stand that furthers the contemporary feel.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1737NC-1.jpg,0,0,1939,0,0,,,,
,product,1394-1,Palace Collection,"The Palace Collection exemplifies the rest of Old World Europe. With egg and dart base moldings, rope twists under case tops and on bed posts, acanthus and tobacco leaf carvings, florets and inset marble tops, the Palace Collection has it all. These many exquisite details married with a rich brown finish on cherry veneers with golden highlights combine to create an ideal European environment worthy of the nobles of yesteryear and the discriminating homeowner of today. Bring Europe home with the Palace Collection.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1394-1.jpg,0,0,3389,0,0,,,,
,product,1968-1,Branton Collection,The rustic modern look of the Branton Collection is a unique choice for your bedroom. An antique brown finish highlights the pine veneer while the black base rails that support the collection provide subtle contrast for a rustic industrial look. Unfettered framing allows for the veneer pattern to provide decorative accent. Horizontal hardware accents each case piece.,furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1968.jpg,0,0,879,0,0,,,,
,product,1919-1,Antoinetta Collection,"Traditional elements of Old World European styling are blended to create the look of the Antoinetta Collection. Acanthus leaf motif as well as bead and heavily carved moldings serve as the initial draw to the traditional design. Canted pilasters, marble tops, sunburst medallion, and classic button and bale hardware further accent the case goods. Cherry veneers and burl inlay are highlighted by a warm cherry finish with gold tipping.",furniture,Bedroom > Bedroom Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1919.jpg,0,0,3519,0,0,,,,
,product,1372-36,Crown Point Collection,Adorn your dining area with Crown Point Collection. This grand scale casual dining in warm merlot finish is as strong and durable as they are stunning. Table top is constructed of mango veneer with strong support tapered legs. Attractive X-back dining chair with comfortable leather-look dark brown seat completes the unsophisticated streamlined look.,furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/1372-36.jpg,0,0,1149,0,0,,,,
,product,586-82,Ameillia Collection,"The solid, clean lines of the Arts and Crafts movement are interpreted from modern times in the Ameillia Collection. Substantial tapered legs and the wood veneer complement this simple and refined dining offering. Newly offered in a grey with brown undertone finish, the collection is also available in a dark oak finish. The rectangular table is flanked by the perfectly coordinating chair or bench option.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/586-82.jpg,0,0,769,0,0,,,,
,product,5547-78,Mantello Collection,"Transitionally styled for your home is the Mantello Collection. Offered in traditional dining height and counter height options, the collection’s cherry finish over mango veneer and classic styling will provide the perfect platform for your mealtime gatherings. Dark brown bi-cast vinyl covers the available side chairs and bench offerings – traditional flat seat bench for the dining height table and wood-backed seat bench for the counter height table. – with the selection of seating being configurable to your specific wants and needs. The available server provides functional storage for your tabletop accessories as well as wine bottle rack and glass display.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5547-78.jpg,0,0,689,0,0,,,,
,product,5473-103,Lordsburg Collection,Elegantly designed for the traditional dining room is the Lordsburg Collection. Supported by the double pedestal base is the table’s top where the magnificent parquet veneer is highlighted by the brown cherry finish that covers the collection. Heavily carved molding provides distinct accent to the table’s top while dark brown faux leather covers the seats and backs of the coordinating wood-framed chairs. The accompanying hutch and buffet provide ample storage space for your tabletop accessories.,furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5473-103.jpg,0,0,1389,0,0,,,,
,product,5400-94,Schleiger Collection,"Transitionally styled with a burnished brown finish, the Schleiger Collection features bold accenting and functional storage options. Sturdy legs support the metal and rivet banded table top with chair and bench options, allowing for versatile seating configurations. Metal and rivet banding with nailhead accent also features prominently on the open hutch and buffet, and mobile kitchen cart.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5400-94.jpg,0,0,1269,0,0,,,,
,product,2456-64,Decatur Collection,"The casual Decatur Collection is the transitional style that you have been searching for in your dining space. Wood legs in espresso finish support both the marble table top and chair seats. Covered in dark brown bi-cast vinyl, the tufted accenting on the chair and bench lend not only to the design but also to your comfort, when you sit with family and friends over a casual meal. Also available in counter height dining.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2456-64.jpg,0,0,679,0,0,,,,
,product,2544-64,Teague Collection,"A natural selection for your transitional home, the Teague Collection will compliment your lifestyle. Faux marble is set in a diamond pattern in this casual dining offering. With dark brown bi-cast vinyl seating and a espresso finish to compliment it all, this dining collection will be a welcome addition to your home.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2544-64_2014D-176.jpg,0,0,679,0,0,,,,
,product,2601-48,Tempe Collection,"With a scale appropriate for any number of smaller dining spaces, the Tempe Collection will provide the look and style you want in your home. The transitional feel of the group comes from the richly hued faux marble table top and the minimalistic design of the dark brown bi-cast vinyl chairs. The table and chair are constructed of metal in black finish.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2601-48_2014D-193.jpg,0,0,219,0,0,,,,
,product,5520-78,Fulbright Collection,"An updated look for the casual country inspired dining space, the Fulbright Collection is a warm and inviting addition to your home. A weathered gray rub through finish serves to contrast the coffee finish of the table top, seats and server top, lending to the updated styling of the traditional look. The available bench provides an additional seating option beyond the expected side chair configuration, creating an open and inviting communal look.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5520-78.jpg,0,0,1079,0,0,,,,
,product,2243-114,Deryn Park Collection,"Walking into the dining room that is occupied by the Deryn Park Collection will immediately invoke your love of the traditional aesthetic. Stately from every angle, sophisticated design elements blend to create this beautiful collection. Burl inset flanks the book-match veneered cherry-finished tabletop. With two table options – the rectangular double pedestal base, and the oval topped single pedestal – the collection allows you the flexibility to fit the scale of your dining room. Each chair features an elaborately designed back and a richly hued fabric cover. The china and coordinating server provide ample display and storage space for your tabletop accessories. The cherry finish is highlighted by gold tipping that accentuates the traditional feel of elegant Deryn Park Collection.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2243_114_RSX2_H_2014D-1.jpg,0,0,2729,0,0,,,,
,product,2423-36,Junipero Collection,"Utilizing the traditional elements of Mission styling, the Junipero Collection adds the feel of the early 20th Century design movement to your casual dining room. The pedestal table base supports an oval top and features storage accessible behind the drop-panel door. Framing, unique to the classic style, carries from the chairbacks to the table base. The rich brown finish serves to highlight the wood veneer.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2423-36.jpg,0,0,629,0,0,,,,
,product,5438-96,Toulon Collection,"Bold curves provide elegant contrast to the unique look of the Toulon Collection. The heavily scrolled base supports of the table feature routing with dark pewter-finished metal trestle that connects. Wire-brushed distressing provides texture to the acacia veneer of the table and pine of the accompanying chairs. The optional bench takes shape with inspiration drawn from church pews, allowing for a look that will add a special touch to your dining room. The French provincial inspired routing lends decorative touch to the accompanying server, while dual drawer and door storage provides ample space to stow your tabletop accessories.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5438-96.jpg,0,0,1529,0,0,,,,
,product,5055-82,Norwich Collection,"Traditional design elements are elegantly layered to create the beautiful Norwich Collection. Shell motif, egg & dart molding, rope molding, ball & claw feet and elegantly designed inlay begin the design journey. Book-match cherry veneer prominently highlights the top of the rectangular table and features oval inlay decorative accenting. The table is flanked by chairs that are accented by beige fabric seats. With the china's glass fronted doors providing a view of your cherished tabletop accessories, there is also drawer and wood fronted cabinets that allow for additional storage space. The collection is offered in a warm cherry finish.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5055-82_mixing%20color%202014D-10.jpg,0,0,1359,0,0,,,,
,product,5056-78,Creswell Collection,Country visits town in the earthy Nash Collection. This casual solid wood dining room offering is featured in a warm two-tone buttermilk and medium tone burnished oak finish. Updated ladder-back chairs flank and feature arched and beveled detail. The dining group is further complimented by a small china that features storage shelving that is fronted by wood-framed glass doors and wine bottle and hanging glass rack storage.,furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5056-78_mixing%20photo%202014D-29.jpg,0,0,1099,0,0,,,,
,product,2546-96,Keegan Collection,"Exuding the sophisticated elegance that your formal dining room calls for, the Keegan Collection will wow your dinner guests. The china cabinet stands at attention, not only functioning as a storage facility for all of your tabletop’s finest, but also as the grand centerpiece of this stylish dining offering. For additional storage, or for smaller spaces, the server features wine storage and unique mirror accent that adds a small height to the standard server. Storage features prominently on both pieces. Each of the dining tables in the collection – 108 inch tabletop with double pedestal base and 96 inch tabletop with leg supports – feature a lovely veneer pattern that is highlighted by the rich brown cherry finish. Accenting hardware is featured in satin nickel. The complimenting chair features a neutral tone fabric seat and elegantly overlapping chair back design.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2546-96_50_2014D-18.jpg,0,0,1299,0,0,,,,
,product,5431-77,Compson Collection,"With lines that lean to contemporary and a natural finish that can be placed in transitional settings, the unique design of the Compson Collection allows for your decorative imagination to run wild. Convenience factors of the self-storing table leaf, and the two tone finish that highlights the natural grain of the walnut veneer table top, are some of the valuable features offered in this offering. Wood framed chairs have chocolate brown fabric seats and backs that further the two-tone look of the collection. Following the curve of the table top is the optional 60-inch bench. The accompanying server features an open display shelf along with drawer and door storage for stowing your tabletop accessories.",furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/5431-77.jpg,0,0,1199,0,0,,,,
,product,2425-36,Griffin Collection,The transitional design of the five-piece Griffin Collection allows for versatile placement in a number of casual dining settings. The wide ladder back chairs feature black bi-cast vinyl seating that compliments the heavily burnished finish of this 40” fixed-top counter height table.,furniture,Dining Room > Dining Room Groups,Homelegance,https://s3-us-west-1.amazonaws.com/homelegance/Images_MidRes_For+Customer+Advertisement/2425-36.jpg,0,0,459,0,0,,,,
